arquivo;algoritmo;estrutura;execucao;tempo_ms
sample100-5940.gr;PRIM;LISTA;10;3,9888
sample100-5940.gr;PRIM;LISTA;11;3,8972
sample100-5940.gr;PRIM;MATRIZ;1;4,3875
sample100-5940.gr;PRIM;MATRIZ;2;3,9572
sample100-5940.gr;PRIM;MATRIZ;3;4,0154
sample100-5940.gr;PRIM;MATRIZ;4;3,9342
sample100-5940.gr;PRIM;MATRIZ;5;3,9640
sample100-5940.gr;PRIM;MATRIZ;6;4,1924
sample100-5940.gr;PRIM;MATRIZ;7;4,0051
sample100-5940.gr;PRIM;MATRIZ;8;4,1639
sample100-5940.gr;PRIM;MATRIZ;9;3,9444
sample100-5940.gr;PRIM;MATRIZ;10;3,9858
sample100-5940.gr;PRIM;MATRIZ;11;3,9796
sample100-5940.gr;DIJKSTRA;LISTA;1;2,7850
sample100-5940.gr;DIJKSTRA;LISTA;2;3,2952
sample100-5940.gr;DIJKSTRA;LISTA;3;3,0361
sample100-5940.gr;DIJKSTRA;LISTA;4;3,1028
sample100-5940.gr;DIJKSTRA;LISTA;5;2,5528
sample100-5940.gr;DIJKSTRA;LISTA;6;2,4922
sample100-5940.gr;DIJKSTRA;LISTA;7;2,5251
sample100-5940.gr;DIJKSTRA;LISTA;8;2,5011
sample100-5940.gr;DIJKSTRA;LISTA;9;2,5030
sample100-5940.gr;DIJKSTRA;LISTA;10;2,5590
sample100-5940.gr;DIJKSTRA;LISTA;11;2,7998
sample100-5940.gr;DIJKSTRA;MATRIZ;1;3,0235
sample100-5940.gr;DIJKSTRA;MATRIZ;2;3,3926
sample100-5940.gr;DIJKSTRA;MATRIZ;3;3,3714
sample100-5940.gr;DIJKSTRA;MATRIZ;4;3,5891
sample100-5940.gr;DIJKSTRA;MATRIZ;5;3,1130
sample100-5940.gr;DIJKSTRA;MATRIZ;6;1,5612
sample100-5940.gr;DIJKSTRA;MATRIZ;7;2,0487
sample100-5940.gr;DIJKSTRA;MATRIZ;8;2,8285
sample100-5940.gr;DIJKSTRA;MATRIZ;9;2,8674
sample100-5940.gr;DIJKSTRA;MATRIZ;10;2,8172
sample100-5940.gr;DIJKSTRA;MATRIZ;11;2,7829
sample100-5940.gr;BELLMANFORD;LISTA;1;3,5711
sample100-5940.gr;BELLMANFORD;LISTA;2;3,9446
sample100-5940.gr;BELLMANFORD;LISTA;3;3,9758
sample100-5940.gr;BELLMANFORD;LISTA;4;3,4538
sample100-5940.gr;BELLMANFORD;LISTA;5;3,8755
sample100-5940.gr;BELLMANFORD;LISTA;6;3,8898
sample100-5940.gr;BELLMANFORD;LISTA;7;2,5976
sample100-5940.gr;BELLMANFORD;LISTA;8;2,1560
sample100-5940.gr;BELLMANFORD;LISTA;9;1,9825
sample100-5940.gr;BELLMANFORD;LISTA;10;1,9910
sample100-5940.gr;BELLMANFORD;LISTA;11;1,9886
sample100-5940.gr;BELLMANFORD;MATRIZ;1;10,2220
sample100-5940.gr;BELLMANFORD;MATRIZ;2;8,0056
sample100-5940.gr;BELLMANFORD;MATRIZ;3;8,6027
sample100-5940.gr;BELLMANFORD;MATRIZ;4;11,6027
sample100-5940.gr;BELLMANFORD;MATRIZ;5;8,3427
sample100-5940.gr;BELLMANFORD;MATRIZ;6;8,4537
sample100-5940.gr;BELLMANFORD;MATRIZ;7;9,8590
sample100-5940.gr;BELLMANFORD;MATRIZ;8;8,3186
sample100-5940.gr;BELLMANFORD;MATRIZ;9;8,3433
sample100-5940.gr;BELLMANFORD;MATRIZ;10;8,2666
sample100-5940.gr;BELLMANFORD;MATRIZ;11;9,5722
sample100-5940.gr;FLOYDWARSHALL;LISTA;1;164,7605
sample100-5940.gr;FLOYDWARSHALL;LISTA;2;210,7109
sample100-5940.gr;FLOYDWARSHALL;LISTA;3;198,2796
sample100-5940.gr;FLOYDWARSHALL;LISTA;4;191,2410
sample100-5940.gr;FLOYDWARSHALL;LISTA;5;175,2695
sample100-5940.gr;FLOYDWARSHALL;LISTA;6;185,4477
sample100-5940.gr;FLOYDWARSHALL;LISTA;7;180,8158
sample100-5940.gr;FLOYDWARSHALL;LISTA;8;194,0024
sample100-5940.gr;FLOYDWARSHALL;LISTA;9;166,9009
sample100-5940.gr;FLOYDWARSHALL;LISTA;10;192,4905
sample100-5940.gr;FLOYDWARSHALL;LISTA;11;165,9576
sample100-5940.gr;FLOYDWARSHALL;MATRIZ;1;191,5095
sample100-5940.gr;FLOYDWARSHALL;MATRIZ;2;175,0006
sample100-5940.gr;FLOYDWARSHALL;MATRIZ;3;185,0904
sample100-5940.gr;FLOYDWARSHALL;MATRIZ;4;179,3315
sample100-5940.gr;FLOYDWARSHALL;MATRIZ;5;190,0617
sample100-5940.gr;FLOYDWARSHALL;MATRIZ;6;193,4996
sample100-5940.gr;FLOYDWARSHALL;MATRIZ;7;172,1995
